id;name;is_closed;url;review_count;categories;rating;coordinates;transactions;price;location;distance;neighborhood;borough
J9xVQScnr0lYWl61_mLXMA;Lido;False;https://www.yelp.com/biz/lido-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;1260;['Italian', 'Breakfast & Brunch', 'Cocktail Bars'];4.1;{'latitude': 40.8049797781916, 'longitude': -73.9548260014624};['delivery', 'restaurant_reservation'];Medium;{'address1': '2168 Frederick Douglass Blvd', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['2168 Frederick Douglass Blvd', 'New York, NY 10026']};11.327.965.629.902.600;East Harlem;Manhattan
foRWizWrQ32g6Vv4g9UTnA;Nocciola Ristorante;False;https://www.yelp.com/biz/nocciola-ristorante-new-york-3?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;275;['Italian', 'Desserts', 'Salad'];4.1;{'latitude': 40.797525, 'longitude': -73.938393};['delivery', 'pickup'];Medium;{'address1': '237 E 116th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['237 E 116th St', 'New York, NY 10029']};503.335.019.495.316;East Harlem;Manhattan
q6ux26c-SfK-679y9lvVbw;Settepani;False;https://www.yelp.com/biz/settepani-new-york-5?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;311;['Italian', 'Mediterranean'];3.7;{'latitude': 40.80435, 'longitude': -73.94766};['delivery', 'pickup'];Medium;{'address1': '196 Lenox Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['196 Lenox Ave', 'New York, NY 10026']};5.815.244.776.141.730;East Harlem;Manhattan
OAqsZMbjv66nOMqlimnYuQ;Uva;False;https://www.yelp.com/biz/uva-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;2857;['Italian', 'Wine Bars', 'Pizza'];4.0;{'latitude': 40.77219299003591, 'longitude': -73.95561517222123};['delivery', 'pickup', 'restaurant_reservation'];High;{'address1': '1486 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['1486 2nd Ave', 'New York, NY 10075']};33.514.774.889.865.200;East Harlem;Manhattan
0xS2Jj-RZuFQKgxEWuVxzA;Armonie;False;https://www.yelp.com/biz/armonie-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;127;['Pizza', 'Italian', 'Fast Food'];4.0;{'latitude': 40.799791923483, 'longitude': -73.942575354665};['delivery', 'pickup'];Medium;{'address1': '1649 Park Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10035', 'country': 'US', 'state': 'NY', 'display_address': ['1649 Park Ave', 'New York, NY 10035']};991.839.756.384.861;East Harlem;Manhattan
MH08_pIRKsUSwfkVYxUE7w;Vinatería;False;https://www.yelp.com/biz/vinater%C3%ADa-new-york-5?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;684;['Italian', 'Spanish', 'Mediterranean'];3.9;{'latitude': 40.806656523356345, 'longitude': -73.95406344446592};['delivery', 'pickup'];Medium;{'address1': '2211 Frederick Douglass Blvd', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['2211 Frederick Douglass Blvd', 'New York, NY 10026']};1.169.781.124.259.740;East Harlem;Manhattan
wZkZmjZEJDraLJgAalnHvA;Pisticci;False;https://www.yelp.com/biz/pisticci-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;1083;['Italian', 'Venues & Event Spaces', 'Vegetarian'];4.2;{'latitude': 40.8141624, 'longitude': -73.960288};['delivery', 'pickup'];Medium;{'address1': '125 La Salle St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['125 La Salle St', 'New York, NY 10027']};21.224.868.994.952.200;East Harlem;Manhattan
Fit_iIDn__NPVZpVlKFBFQ;Osteria 106;False;https://www.yelp.com/biz/osteria-106-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;228;['Italian'];4.3;{'latitude': 40.79894, 'longitude': -73.96174};['delivery', 'pickup'];Medium;{'address1': '53 W 106 St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['53 W 106 St', 'New York, NY 10025']};16.141.132.647.756.300;East Harlem;Manhattan
wLzJbddDixAEZrF7VT6_hw;Bono Trattoria;False;https://www.yelp.com/biz/bono-trattoria-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;375;['Pizza', 'Italian'];4.3;{'latitude': 40.8301996389829, 'longitude': -73.9473449424522};['delivery', 'pickup'];Medium;{'address1': '3658 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['3658 Broadway', 'New York, NY 10031']};3.306.044.199.332.670;East Harlem;Manhattan
WYdrEMBXzOcxffpQczHKww;Ortomare Ristorante Pizzeria;False;https://www.yelp.com/biz/ortomare-ristorante-pizzeria-new-york-2?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;162;['Wine Bars', 'Italian', 'Pizza'];4.7;{'latitude': 40.80124, 'longitude': -73.96161};['delivery', 'pickup'];Medium;{'address1': '994 Columbus Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['994 Columbus Ave', 'New York, NY 10025']};16.106.596.688.364.500;East Harlem;Manhattan
VmdyRRMtUXOWV7F7w0ImwQ;Piccola Cucina Uptown;False;https://www.yelp.com/biz/piccola-cucina-uptown-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;489;['Sicilian'];4.4;{'latitude': 40.763174, 'longitude': -73.969046};['delivery', 'pickup'];High;{'address1': '106 E 60th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['106 E 60th St', 'New York, NY 10022']};4.727.067.412.346.530;East Harlem;Manhattan
B0qxEXABa8-t9sY4NQRRsQ;Fumo - Harlem;False;https://www.yelp.com/biz/fumo-harlem-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;672;['Pizza', 'Italian', 'Bars'];4.1;{'latitude': 40.821427, 'longitude': -73.950638};['delivery', 'pickup'];Medium;{'address1': '1600 Amsterdam Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['1600 Amsterdam Ave', 'New York, NY 10031']};24.032.104.349.621.700;East Harlem;Manhattan
f_1BjTChf6bobreSRpqhsw;Arco Cafe;False;https://www.yelp.com/biz/arco-cafe-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;378;['Sardinian', 'Pasta Shops'];4.4;{'latitude': 40.7988462, 'longitude': -73.967065};['delivery', 'pickup'];Medium;{'address1': '886 Amsterdam Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['886 Amsterdam Ave', 'New York, NY 10025']};2.082.689.423.026.240;East Harlem;Manhattan
vZ5-JXlJS75k8wmPNS5U5w;Max Soha Restaurant;False;https://www.yelp.com/biz/max-soha-restaurant-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;453;['Italian'];4.1;{'latitude': 40.811324216443104, 'longitude': -73.9581736};['delivery', 'pickup'];Medium;{'address1': '1274 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['1274 Amsterdam Ave', 'New York, NY 10027']};17.643.844.636.664.200;East Harlem;Manhattan
UjzSeETESWzramhdOdWKKQ;Tartina;False;https://www.yelp.com/biz/tartina-new-york-4?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;354;['Italian'];4.0;{'latitude': 40.8035073, 'longitude': -73.9636591};['delivery', 'pickup'];Medium;{'address1': '1034 Amsterdam Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['1034 Amsterdam Ave', 'New York, NY 10025']};18.083.572.182.280.400;East Harlem;Manhattan
gJg_Gh2lqrCprDzR6ZP9QQ;314 Pizza Pasta & Cocktail Bar;False;https://www.yelp.com/biz/314-pizza-pasta-and-cocktail-bar-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;157;['Italian', 'Pizza', 'Cocktail Bars'];4.5;{'latitude': 40.8141969, 'longitude': -73.9598383};['delivery', 'pickup'];Medium;{'address1': '3143 Broadway', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['3143 Broadway', 'New York, NY 10027']};20.874.150.373.426.500;East Harlem;Manhattan
RPP_wHhM8yZYIP5W-YHk6Q;Fumo- Upper West Side;False;https://www.yelp.com/biz/fumo-upper-west-side-new-york-7?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;299;['Italian', 'Bars', 'Pizza'];4.1;{'latitude': 40.80285617298625, 'longitude': -73.968119};['delivery', 'pickup'];Medium;{'address1': '2791 Broadway', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['2791 Broadway', 'New York, NY 10025']};2.159.589.073.218.500;East Harlem;Manhattan
JBthOvTegHbrLDiVaCAy5Q;Bigoi Venezia;False;https://www.yelp.com/biz/bigoi-venezia-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;388;['Italian', 'Pasta Shops'];4.6;{'latitude': 40.770036, 'longitude': -73.9577755};['delivery', 'pickup'];Medium;{'address1': '1415 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['1415 2nd Ave', 'New York, NY 10021']};3.638.762.581.897.550;East Harlem;Manhattan
mTWlEiCUEBlxBAkIikkB1A;Carmine's Italian Restaurant - Upper West Side;False;https://www.yelp.com/biz/carmines-italian-restaurant-upper-west-side-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;1859;['Italian', 'Desserts', 'Seafood'];3.7;{'latitude': 40.791077, 'longitude': -73.973763};['delivery', 'pickup'];High;{'address1': '2450 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['2450 Broadway', 'New York, NY 10024']};28.306.028.498.917.300;East Harlem;Manhattan
5Ukroq-mXS86EtRKj5deAQ;Song E Napule;False;https://www.yelp.com/biz/song-e-napule-new-york-5?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;113;['Pizza', 'Italian'];4.1;{'latitude': 40.78544473364387, 'longitude': -73.9769653};['delivery', 'pickup'];High;{'address1': '464 Amsterdam Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['464 Amsterdam Ave', 'New York, NY 10024']};3.350.982.834.492.880;East Harlem;Manhattan
PerCtK0A27ku-cmBVMh5tw;Porto Salvo;False;https://www.yelp.com/biz/porto-salvo-bronx?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;224;['Italian', 'Wine Bars', 'Cocktail Bars'];4.5;{'latitude': 40.82375554731683, 'longitude': -73.9129174161938};['pickup'];Medium;{'address1': '424 E 161st St', 'address2': None, 'address3': '', 'city': 'Bronx', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['424 E 161st St', 'Bronx, NY 10451']};3.582.159.535.131.560;East Harlem;Manhattan
LUjq-_hs89D5N1UGcmKAQw;Spiga;False;https://www.yelp.com/biz/spiga-new-york-2?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;77;['Food Delivery Services', 'Italian', 'Personal Chefs'];4.8;{'latitude': 40.7850762472345, 'longitude': -73.9728921619309};['delivery', 'pickup'];Medium;{'address1': '57 W 84th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['57 W 84th St', 'New York, NY 10024']};30.829.595.078.415.900;East Harlem;Manhattan
JLpEKUYAtzBRQwsUL3RPIA;Il Corso;False;https://www.yelp.com/biz/il-corso-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;489;['Italian', 'Wine Bars'];4.3;{'latitude': 40.762441, 'longitude': -73.977206};['pickup'];High;{'address1': '54 W 55th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['54 W 55th St', 'New York, NY 10019']};5.153.764.389.353.320;East Harlem;Manhattan
fFIQ8Rx4x1Z34kFJcmlVzQ;Cacio e Pepe;False;https://www.yelp.com/biz/cacio-e-pepe-new-york-4?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;92;['Italian', 'Desserts', 'Cocktail Bars'];4.4;{'latitude': 40.77090864674996, 'longitude': -73.95098168604862};['delivery', 'pickup'];High;{'address1': '1479 York Ave', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['1479 York Ave', 'New York, NY 10075']};33.847.364.100.485.100;East Harlem;Manhattan
d5ya04K-2A_hI3Xzqe1HeA;Caffe Buon Gusto;False;https://www.yelp.com/biz/caffe-buon-gusto-new-york-4?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;735;['Italian'];3.9;{'latitude': 40.77249, 'longitude': -73.95713};['delivery', 'pickup'];Medium;{'address1': '236 E 77th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['236 E 77th St', 'New York, NY 10075']};33.644.464.373.945.200;East Harlem;Manhattan
l7OsDvMOO3ji3fg0nT0QzA;Tony's Di Napoli;False;https://www.yelp.com/biz/tonys-di-napoli-new-york-7?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;914;['Italian'];4.0;{'latitude': 40.7643855741476, 'longitude': -73.96426247506157};['pickup'];Medium;{'address1': '1081 3rd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10065', 'country': 'US', 'state': 'NY', 'display_address': ['1081 3rd Ave', 'New York, NY 10065']};4.428.276.095.077.080;East Harlem;Manhattan
Q1_UvNyONsaVS_VC1mD9Dw;Osteria Cotta;False;https://www.yelp.com/biz/osteria-cotta-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;1126;['Italian', 'Wine Bars', 'Venues & Event Spaces'];4.0;{'latitude': 40.78554, 'longitude': -73.97263};['delivery', 'pickup'];Medium;{'address1': '513 Columbus Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['513 Columbus Ave', 'New York, NY 10024']};30.354.035.424.825.100;East Harlem;Manhattan
q3_FgDWWuXcVGiNuo_OPBQ;Fiaschetteria Pistoia;False;https://www.yelp.com/biz/fiaschetteria-pistoia-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;356;['Tuscan', 'Pasta Shops'];4.2;{'latitude': 40.72666, 'longitude': -73.9773};['pickup', 'delivery'];Medium;{'address1': '647 E 11th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['647 E 11th St', 'New York, NY 10009']};41.771.444.632.939.400;East Village;Manhattan
dh5r9-SbN8xJ76XvnayWLQ;Giano Restaurant;False;https://www.yelp.com/biz/giano-restaurant-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;733;['Italian'];4.3;{'latitude': 40.7262256596862, 'longitude': -73.9840574049125};['delivery', 'pickup'];Medium;{'address1': '126 E 7th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['126 E 7th St', 'New York, NY 10009']};16.199.783.245.905.300;East Village;Manhattan
Vs8kQ4R381y27AH018gLpg;Supper;False;https://www.yelp.com/biz/supper-new-york?adjust_creative=3St_XrQdTUSTQzgpC2-OKA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3St_XrQdTUSTQzgpC2-OKA;1535;['Italian', 'Desserts', 'Wine Bars'];3.9;{'latitude': 40.72290786539601, 'longitude': -73.98520720537888};['delivery', 'pickup'];Medium;{'address1': '156 E 2nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['156 E 2nd St', 'New York, NY 10009']};48.050.095.415.617.300;East Village;Manhattan
